Shryp        buys level-guard  for    20 cubic,   100 aquest,     2 iquest.
Shryp        buys level-guard  for    30 cubic,   150 aquest,     3 iquest.
Shryp        buys resist-guard for    20 cubic,   100 aquest,     5 iquest.
Shryp        buys resist-guard for    20 cubic,   100 aquest,     5 iquest.
Shryp        buys resist-guard for    20 cubic,   100 aquest,     5 iquest.
Shryp        buys resist-guard for    20 cubic,   100 aquest,     5 iquest.
Wed Mar 26 14:20:29 2008 Shryp        buys new-room     for    25 cubic,   250 aquest,     5 iquest.
Wed Mar 26 14:20:35 2008 Shryp        buys new-room     for    25 cubic,   250 aquest,     5 iquest.
Wed Mar 26 18:36:55 2008 Shryp        buys indoors      for    25 cubic,   100 aquest,     5 iquest.
Wed Mar 26 18:37:42 2008 Shryp        buys no-recall    for    50 cubic,   200 aquest,    10 iquest.
Wed Mar 26 18:38:00 2008 Shryp        buys no-recall    for    50 cubic,   200 aquest,    10 iquest.
Wed Mar 26 19:48:55 2008 Shryp        buys buy-new-armor for    50 cubic,   500 aquest,    15 iquest.
Wed Mar 26 19:50:21 2008 Shryp        buys buy-new-armor for   100 cubic,  1000 aquest,    30 iquest.
Wed Mar 26 19:50:37 2008 Shryp        buys buy-new-armor for   150 cubic,  1500 aquest,    45 iquest.
Wed Mar 26 19:57:58 2008 Shryp        buys buy-new-armor for    50 cubic,   500 aquest,    15 iquest.
Wed Mar 26 20:20:19 2008 Shryp        buys buy-new-armor for   100 cubic,  1000 aquest,    30 iquest.
Wed Mar 26 20:23:31 2008 Shryp        buys buy-new-armor for    50 cubic,   500 aquest,    15 iquest.
Wed Mar 26 20:23:48 2008 Shryp        buys buy-new-armor for   100 cubic,  1000 aquest,    30 iquest.
Wed Mar 26 20:27:46 2008 Shryp        buys buy-new-armor for   100 cubic,  1000 aquest,    30 iquest.
Wed Mar 26 20:50:25 2008 Shryp        buys buy-level-object for     0 cubic,     0 aquest,     0 iquest.
Wed Mar 26 21:13:45 2008 Shryp        buys buy-new-shop for    90 cubic,   450 aquest,    15 iquest.
Wed Mar 26 21:18:00 2008 Shryp        buys buy-new-shop for    90 cubic,   450 aquest,    15 iquest.
Wed Mar 26 21:20:01 2008 Shryp        buys buy-new-shop for    90 cubic,   450 aquest,    15 iquest.
Wed Mar 26 21:20:26 2008 Shryp        buys buy-new-armor for   150 cubic,  1500 aquest,    45 iquest.
Thu Mar 27 12:48:57 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:49:45 2008 Shryp        buys buy-level-object     for    10 cubic,    50 aquest,     1 iquest.
Thu Mar 27 12:49:48 2008 Shryp        buys buy-level-object     for    20 cubic,   100 aquest,     2 iquest.
Thu Mar 27 12:49:49 2008 Shryp        buys buy-level-object     for    30 cubic,   150 aquest,     3 iquest.
Thu Mar 27 12:49:49 2008 Shryp        buys buy-level-object     for    40 cubic,   200 aquest,     4 iquest.
Thu Mar 27 12:51:45 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:47 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:52 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:53 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:53 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:54 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:54 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:54 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:55 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:55 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:51:56 2008 Shryp        buys hp                   for    35 cubic,   400 aquest,    15 iquest.
Thu Mar 27 12:52:08 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:09 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:12 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:13 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:13 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:14 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:14 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
Thu Mar 27 12:52:14 2008 Shryp        buys saves                for    30 cubic,   300 aquest,     5 iquest.
